,name,time,h,valid,optimal,rotation,sorting,search_goal,search_type
29,ins-30,10.0,None,False,False,rotation,height,min,board
0,ins-01,0.00026,11,True,False,rotation,height,min,h
1,ins-02,0.00036,18,True,False,rotation,height,min,h
2,ins-03,0.00041,19,True,False,rotation,height,min,h
3,ins-04,0.00081,20,True,False,rotation,height,min,h
4,ins-05,0.00065,27,True,False,rotation,height,min,h
5,ins-06,0.00075,27,True,False,rotation,height,min,h
6,ins-07,0.00076,33,True,False,rotation,height,min,h
7,ins-08,0.00091,42,True,False,rotation,height,min,h
8,ins-09,0.00095,38,True,False,rotation,height,min,h
9,ins-10,0.00164,44,True,False,rotation,height,min,h
10,ins-11,0.00241,49,True,False,rotation,height,min,h
11,ins-12,0.00189,64,True,False,rotation,height,min,h
12,ins-13,10.0,None,False,False,rotation,height,min,h
13,ins-14,0.00213,69,True,False,rotation,height,min,h
14,ins-15,10.0,None,False,False,rotation,height,min,h
15,ins-16,0.00367,84,True,False,rotation,height,min,h
16,ins-17,0.00319,94,True,False,rotation,height,min,h
17,ins-18,0.00382,103,True,False,rotation,height,min,h
18,ins-19,0.00503,108,True,False,rotation,height,min,h
19,ins-20,0.00486,117,True,False,rotation,height,min,h
20,ins-21,0.00557,116,True,False,rotation,height,min,h
21,ins-22,0.00698,120,True,False,rotation,height,min,h
22,ins-23,10.0,None,False,False,rotation,height,min,h
23,ins-24,0.07282,123,True,False,rotation,height,min,h
24,ins-25,0.00932,166,True,False,rotation,height,min,h
25,ins-26,0.00988,148,True,False,rotation,height,min,h
26,ins-27,0.00575,147,True,False,rotation,height,min,h
27,ins-28,0.01962,151,True,False,rotation,height,min,h
28,ins-29,0.00898,174,True,False,rotation,height,min,h
29,ins-30,10.0,None,False,False,rotation,height,min,h
0,ins-01,0.00074,8,True,True,rotation,height,median,board
1,ins-02,0.00096,9,True,True,rotation,height,median,board
2,ins-03,0.00165,10,True,True,rotation,height,median,board
3,ins-04,0.00475,11,True,True,rotation,height,median,board
4,ins-05,0.00367,12,True,True,rotation,height,median,board
5,ins-06,0.95982,13,True,True,rotation,height,median,board
6,ins-07,0.00762,14,True,True,rotation,height,median,board
7,ins-08,0.01261,15,True,True,rotation,height,median,board
8,ins-09,0.01205,16,True,True,rotation,height,median,board
9,ins-10,10.0003,26,True,False,rotation,height,median,board
10,ins-11,10.0004,47,True,False,rotation,height,median,board
11,ins-12,10.0003,39,True,False,rotation,height,median,board
12,ins-13,10.0003,42,True,False,rotation,height,median,board
13,ins-14,10.0003,39,True,False,rotation,height,median,board
14,ins-15,10.0003,47,True,False,rotation,height,median,board
15,ins-16,10.0004,56,True,False,rotation,height,median,board
16,ins-17,10.0004,58,True,False,rotation,height,median,board
17,ins-18,10.0004,51,True,False,rotation,height,median,board
18,ins-19,10.0004,69,True,False,rotation,height,median,board
19,ins-20,10.0004,67,True,False,rotation,height,median,board
20,ins-21,10.0005,74,True,False,rotation,height,median,board
21,ins-22,10.0006,82,True,False,rotation,height,median,board
22,ins-23,10.0013,69,True,False,rotation,height,median,board
23,ins-24,10.0004,66,True,False,rotation,height,median,board
24,ins-25,10.0006,85,True,False,rotation,height,median,board
25,ins-26,10.0008,76,True,False,rotation,height,median,board
